City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Harlingen,US,26.1906,-97.6961,69.89,55,100,14.97,overcast clouds
263,Khandyga,RU,62.6667,135.6,-38.07,100,82,0.65,broken clouds
264,Wagar,SD,16.1525,36.2032,66.69,66,1,8.3,clear sky
265,Kruisfontein,ZA,-34.0033,24.7314,65.88,95,87,2.68,overcast clouds
266,Kongolo,CD,-5.3833,27.0,69.51,97,100,2.68,overcast clouds
267,Rio Gallegos,AR,-51.6226,-69.2181,55.45,35,75,27.63,broken clouds
268,Aklavik,CA,68.2191,-135.0107,2.23,96,100,3.58,overcast clouds
269,Guasdualito,VE,7.2424,-70.7324,87.8,42,50,2.3,scattered clouds
270,Yerbogachen,RU,61.2767,108.0108,-16.64,100,95,3.18,overcast clouds
271,Morro Bay,US,35.3658,-120.8499,71.4,51,0,1.01,clear sky
272,Aksarayskiy,RU,46.7924,48.0119,24.75,92,67,2.48,broken clouds
273,Domoni,KM,-12.2569,44.5319,78.6,83,11,4.52,few clouds
274,Fowa,NG,8.9167,6.4,74.01,12,91,5.21,overcast clouds
275,Miranda,CO,3.2499,-76.2281,77.13,95,100,3.24,overcast clouds
276,Hami,CN,42.8,93.45,21.74,44,95,1.74,overcast clouds
277,Sanchursk,RU,56.9413,47.2499,13.57,97,99,5.95,overcast clouds
278,Jizan,SA,17.3333,42.6667,76.14,77,43,3.85,scattered clouds
279,Sarakhs,IR,36.5449,61.1577,35.74,80,0,4.61,clear sky
280,Elban,RU,50.1018,136.5094,-17.32,99,52,4.16,broken clouds
281,Hambantota,LK,6.1241,81.1185,75.58,88,18,11.34,few clouds
282,Elko,US,41.0002,-115.5012,44.62,34,12,2.24,few clouds
283,Ossora,RU,59.2353,163.0719,28.9,96,100,31.18,snow
284,Nieuw Amsterdam,SR,5.8833,-55.0833,80.62,79,20,6.91,few clouds
285,Sinnamary,GF,5.3833,-52.95,76.26,88,44,12.86,scattered clouds
286,Qasigiannguit,GL,68.8193,-51.1922,3.45,75,83,10.8,broken clouds
287,Ixtapa,MX,20.7,-105.2,75.22,85,4,5.99,clear sky
288,Sisimiut,GL,66.9395,-53.6735,1.74,79,98,18.88,overcast clouds
289,Mugango,TZ,-1.6833,33.7,68.38,85,100,9.33,light rain
290,Mount Gambier,AU,-37.8333,140.7667,66.11,94,100,6.91,overcast clouds
291,Karaj,IR,35.8355,51.0103,36.12,64,20,6.91,few clouds
292,Poum,NC,-20.2333,164.0167,80.49,73,98,9.35,overcast clouds
293,Ingham,US,42.6,-84.3833,24.42,77,0,0.0,clear sky
294,Bengkulu,ID,-3.8004,102.2655,75.85,88,97,4.83,heavy intensity rain
295,Caravelas,BR,-17.7125,-39.2481,79.41,84,29,11.36,scattered clouds
296,Muroto,JP,33.2833,134.15,41.04,53,13,14.67,few clouds
297,San Julian,MX,21.0167,-102.1667,75.2,21,1,14.61,clear sky
298,Muli,MV,2.9167,73.5667,82.0,74,43,12.21,scattered clouds
299,Shenjiamen,CN,29.9576,122.298,41.16,63,5,9.08,clear sky
300,Bambous Virieux,MU,-20.3428,57.7575,79.05,94,75,9.22,light rain
301,Batabano,CU,22.7164,-82.2881,57.81,61,0,10.69,clear sky
302,Tautira,PF,-17.7333,-149.15,86.02,75,92,12.37,overcast clouds
303,Sandakan,MY,5.8402,118.1179,76.68,100,40,0.0,scattered clouds
304,Lesogorsk,RU,56.0458,99.5136,1.45,98,100,1.05,overcast clouds
305,Salaga,GH,8.5508,-0.5188,80.65,12,59,6.62,broken clouds
306,Sistranda,NO,63.7256,8.834,31.89,69,91,6.69,overcast clouds
307,Uvinza,TZ,-5.1036,30.3911,66.15,98,100,3.58,light rain
308,Lukiv,UA,51.0521,25.4006,35.19,90,100,25.77,light snow
309,Baoqing,CN,46.3317,132.2111,-4.18,94,27,2.62,scattered clouds
310,Christchurch,NZ,-43.5333,172.6333,72.48,60,21,7.0,few clouds
311,Asau,RO,46.4333,26.4,39.96,65,99,16.51,overcast clouds
312,Koslan,RU,63.4564,48.8989,-0.74,99,88,3.94,overcast clouds
313,Zhangye,CN,38.9342,100.4517,15.28,39,83,1.34,broken clouds
314,The Valley,AI,18.217,-63.0578,78.66,78,20,5.75,few clouds
315,Tilichiki,RU,60.4667,166.1,17.71,79,100,11.01,overcast clouds
